OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500773,Sample-Routine,Water,Surface Water,9/24/2015,9:00:00,MST,,,,,,,,,,,,,,"Friends of the Santa Cruz River, Tubac, AZ",USGS-312551110573901,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103581379,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500481,Sample-Routine,Water,Surface Water,7/24/2015,23:23:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Falling stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103083592,,,Escherichia coli,,610000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500481,Sample-Routine,Water,Surface Water,7/24/2015,23:23:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Falling stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103083593,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500634,Quality Control Sample-Field Replicate,Water,Surface Water,3/11/2015,10:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313343110024701,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103149550,,,Escherichia coli,,33,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500634,Quality Control Sample-Field Replicate,Water,Surface Water,3/11/2015,10:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313343110024701,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103149551,,,Total Coliform,Total,1400,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500437,Sample-Routine,Water,Surface Water,6/9/2015,16:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083178,,,Escherichia coli,,110,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500437,Sample-Routine,Water,Surface Water,6/9/2015,16:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083179,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500682,Sample-Routine,Water,Surface Water,7/23/2015,15:15:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313343110024701,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103150150,,,Escherichia coli,,6000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500682,Sample-Routine,Water,Surface Water,7/23/2015,15:15:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313343110024701,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103150151,,,Total Coliform,Total,110000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500438,Sample-Routine,Water,Surface Water,6/30/2015,20:12:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083188,,,Escherichia coli,,49000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500438,Sample-Routine,Water,Surface Water,6/30/2015,20:12:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083189,,,Total Coliform,Total,2000000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500539,Sample-Routine,Water,Surface Water,9/21/2015,12:40:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Not determined,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103084227,,,Escherichia coli,,18000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500539,Sample-Routine,Water,Surface Water,9/21/2015,12:40:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Not determined,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103084228,,,Total Coliform,Total,2400000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500557,Sample-Routine,Water,Surface Water,9/21/2015,19:45:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Not determined,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103084425,,,Escherichia coli,,240000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500557,Sample-Routine,Water,Surface Water,9/21/2015,19:45:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Not determined,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103084426,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500428,Quality Control Sample-Field Replicate,Water,Surface Water,9/9/2015,16:45:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312710110574201,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-102229955,,,Escherichia coli,,13000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.111111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500428,Quality Control Sample-Field Replicate,Water,Surface Water,9/9/2015,16:45:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312710110574201,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-102229956,,,Total Coliform,Total,110000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.111111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500458,Sample-Routine,Water,Surface Water,7/2/2015,13:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083353,,,Escherichia coli,,34000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.111111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500458,Sample-Routine,Water,Surface Water,7/2/2015,13:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083354,,,Total Coliform,Total,240000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.111111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500697,Sample-Routine,Water,Surface Water,2/1/2015,10:40:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312724110580501,,,,Not determined,Spring breakup,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103342815,Not Detected,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,,,Historical Lower Reporting Limit,1,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500697,Sample-Routine,Water,Surface Water,2/1/2015,10:40:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312724110580501,,,,Not determined,Spring breakup,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103342816,,,Total Coliform,Total,2,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500391,Sample-Routine,Water,Surface Water,9/21/2015,8:53:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312551110573901,,"""dilution 1:1,000""",,Peak stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-102222583,,,Escherichia coli,,1100000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500391,Sample-Routine,Water,Surface Water,9/21/2015,8:53:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312551110573901,,"""dilution 1:1,000""",,Peak stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-102222584,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500386,Sample-Routine,Water,Surface Water,9/21/2015,7:38:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312551110573901,,"""dilution 1:1,000""",,Rising stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-102222561,,,Escherichia coli,,610000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500386,Sample-Routine,Water,Surface Water,9/21/2015,7:38:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312551110573901,,"""dilution 1:1,000""",,Rising stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-102222562,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500527,Sample-Routine,Water,Surface Water,8/21/2015,3:35:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Falling stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103084065,,,Escherichia coli,,390000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500527,Sample-Routine,Water,Surface Water,8/21/2015,3:35:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Falling stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103084066,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500752,Sample-Routine,Water,Surface Water,2/17/2015,11:55:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103581094,,,Escherichia coli,,1400,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500507,Quality Control Sample-Field Replicate,Water,Surface Water,8/20/2015,22:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Rising stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103083865,,,Escherichia coli,,340000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500507,Quality Control Sample-Field Replicate,Water,Surface Water,8/20/2015,22:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Rising stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103083866,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500507,Quality Control Sample-Field Replicate,Water,Surface Water,8/20/2015,22:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Rising stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103083873,,,Enterococcus,,87000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,99601,,,,,,,,,BAC06,USGS,"Enterococci,EnterolertQuantitray",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500532,Quality Control Sample-Field Replicate,Water,Surface Water,9/9/2015,14:15:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Not determined,Spring breakup,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103084130,,,Escherichia coli,,44000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.111111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500532,Quality Control Sample-Field Replicate,Water,Surface Water,9/9/2015,14:15:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Not determined,Spring breakup,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103084131,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.111111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,240000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500429,Sample-Routine,Water,Surface Water,1/20/2015,11:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083041,,,Escherichia coli,,34,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500429,Sample-Routine,Water,Surface Water,1/20/2015,11:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,"Stable, normal stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103083042,,,Total Coliform,Total,2400,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500684,Sample-Routine,Water,Surface Water,7/28/2015,21:15:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313343110024701,,,,Not determined,Flood,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103150171,,,Escherichia coli,,1000000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500684,Sample-Routine,Water,Surface Water,7/28/2015,21:15:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313343110024701,,,,Not determined,Flood,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103150172,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500621,Sample-Routine,Water,Surface Water,7/28/2015,20:45:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313148111011101,,,,Rising stage,Flood,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103140074,,,Escherichia coli,,1600000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500621,Sample-Routine,Water,Surface Water,7/28/2015,20:45:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-313148111011101,,,,Rising stage,Flood,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103140075,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500451,Sample-Routine,Water,Surface Water,7/2/2015,0:36:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Rising stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103083301,,,Escherichia coli,,220000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,0.736111111,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500451,Sample-Routine,Water,Surface Water,7/2/2015,0:36:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09481740,,,,Rising stage,Flood,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-103083302,Present Above Quantification Limit,,Total Coliform,Total,,,,Accepted,,Actual,,,,,,,,,,0.736111111,50569,,,,,,,,,BAC47,USGS,"Tot coliform, Colilert (24-28hr)",,Standard Methods,USGS - Arizona Water Science Center,,sample was diluted,,Upper Reporting Limit,2400000,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01500596,Sample-Routine,Water,Surface Water,1/20/2015,15:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-312843111000201,,,,Not determined,Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103129882,,,Escherichia coli,,5,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,USGS - Arizona Water Science Center,,,,,,,,,NWIS
